	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","9.33776027522981E-06","-2.77771528001125E-10"
"2","0.39851086","2.00361227989197","4.33946816258413E-08"
"3","0.79697372","3.80560255050659","8.84416095914276E-08"
"4","1.53430204","6.01211547851563","1.47371778780325E-07"
"5","1.63291884","8.01595687866211","1.93567686324059E-07"
"6","1.73151252","10.0199041366577","2.47943205522461E-07"
"7","1.83008914","12.0238132476807","3.05788148580177E-07"
"8","1.92869736","14.0276384353638","3.65384494216414E-07"
"9","2.02727958","16.0315818786621","4.26742730041951E-07"
"10","2.12584488","18.0357303619385","4.89233855205384E-07"
"11","2.22445904","20.0396308898926","5.52118706309557E-07"
"12","2.32554864","22.118537902832","6.20762648395612E-07"
"13","2.42412166","24.0498962402344","6.80560219734616E-07"
"14","2.52270718","26.0489120483398","7.45692489090288E-07"
"15","2.62127688","28.0525436401367","8.10619894764386E-07"
"16","2.7198747","30.0589427947998","8.76484364198404E-07"
"17","2.81845176","32.0615653991699","9.43163684041792E-07"
"18","2.91704406","34.0114402770996","1.02464230167243E-06"
"19","3.34896312","36.0711250305176","1.09426503058785E-06"
"20","3.43662304","38.0737342834473","1.15301918413024E-06"
"21","3.52427364","40.0808982849121","1.21902337468782E-06"
"22","3.6119168","42.0838279724121","1.28748945371626E-06"
"23","3.6995428","44.0905456542969","1.35732852868387E-06"
"24","3.78717544","46.0906219482422","1.42741771469446E-06"
"25","3.87482188","48.0936546325684","1.49852041886334E-06"
"26","3.96250036","50.1004295349121","1.57124281940924E-06"
"27","4.05018476","52.1034164428711","1.64345601660898E-06"
"28","4.13786672","54.1103286743164","1.71594388120866E-06"
"29","4.22552708","56.110221862793","1.78846073595196E-06"
"30","4.31319878","58.1166725158691","1.86178419880889E-06"
"31","4.40087848","60.1199073791504","1.93518576452334E-06"
"32","4.48854562","62.1269607543945","2.00906515601673E-06"
"33","4.57620636","64.1300506591797","2.08252004085807E-06"
"34","4.66389124","66.1291580200195","2.15703130379552E-06"
"35","4.75154724","68.1362762451172","2.23166193791258E-06"
"36","4.83921336","70.1390914916992","2.30648015531187E-06"
"37","4.92688828","72.1454925537109","2.3811962819309E-06"
"38","5.01455298","74.1491546630859","2.4563764782215E-06"
"39","5.1022199","76.148551940918","2.53127541327558E-06"
"40","5.18990046","78.1553649902344","2.60672732110834E-06"
"41","5.27757778","80.1585159301758","2.68222106569738E-06"
"42","5.36523916","82.1651763916016","2.75734078059031E-06"
"43","5.45290906","84.1684646606445","2.83352710539475E-06"
"44","5.54058128","86.1681671142578","2.90916295853094E-06"
"45","5.62825174","88.1748657226563","2.98549889521382E-06"
"46","5.7159175","90.1779632568359","3.06114679915481E-06"
"47","5.80358298","92.1845474243164","3.13724490297318E-06"
"48","5.89123674","94.1909561157227","3.21317088491924E-06"
"49","5.97891446","96.191162109375","3.28940245708509E-06"
"50","6.06656652","98.1938552856445","3.36622179020196E-06"
"51","6.15422662","100.200660705566","3.44181762557128E-06"
"52","6.24189364","102.204071044922","3.51751396010513E-06"
"53","6.32954774","104.209899902344","3.59440127795096E-06"
"54","6.4172056","106.210113525391","3.67137681678287E-06"
"55","6.50488028","108.213752746582","3.74741011910373E-06"
"56","6.59254314","110.219680786133","3.82286498279427E-06"
"57","6.68020744","112.223510742188","3.89917431675713E-06"
"58","6.76787606","114.229881286621","3.97545727537363E-06"
"59","6.85553656","116.229721069336","4.05207674702979E-06"
"60","6.9432032","118.232650756836","4.12870758736972E-06"
"61","7.03087126","120.239326477051","4.20435890191584E-06"
"62","7.1185434","122.242362976074","4.28041948907776E-06"
"63","7.20619202","124.248764038086","4.35719357483322E-06"
"64","7.29386034","126.251586914063","4.43277031081379E-06"
"65","7.38150818","128.255477905273","4.50889638159424E-06"
"66","7.46916234","130.258285522461","4.58423983218381E-06"
"67","7.5568152","132.264343261719","4.65927951154299E-06"
