	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","6.23526284471154E-06","1.29342214716388E-09"
"2","0.73986254","2.00396251678467","4.05314111162625E-08"
"3","1.05312776","3.84517121315002","7.89037528647896E-08"
"4","1.79046398","6.01209688186646","1.16778551273455E-07"
"5","1.88910344","8.01595020294189","1.49880520439183E-07"
"6","1.98771632","10.0198965072632","1.89945453143991E-07"
"7","2.08631892","12.0238018035889","2.29666625273239E-07"
"8","2.1849112","14.0276699066162","2.69163422217389E-07"
"9","2.28348964","16.0316104888916","3.06611269706991E-07"
"10","2.38207708","18.0357532501221","3.46098062209421E-07"
"11","2.48066522","20.0396633148193","3.72693705230631E-07"
"12","2.58177974","22.1187496185303","4.1362011415913E-07"
"13","2.68036516","24.0503444671631","4.33326533766376E-07"
"14","2.77896836","26.0497493743896","4.6221580873862E-07"
"15","2.87755734","28.0533695220947","4.89406318138208E-07"
"16","2.97612636","30.0597496032715","5.09642291035561E-07"
"17","3.07470306","32.0625267028809","5.30963347955549E-07"
"18","3.17330008","34.0695571899414","5.53717882212368E-07"
"19","3.2719075","36.0693702697754","5.75721173845523E-07"
"20","3.37052892","38.0723457336426","6.05556522259576E-07"
"21","3.46913538","40.0792808532715","6.17739885910851E-07"
"22","3.56772028","42.0822257995605","6.4004683508756E-07"
"23","3.66631084","44.0887603759766","6.55981011732365E-07"
