	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.267455809284E-05","-1.0505011305284E-09"
"2","0.39850632","1.99142408370972","2.3526091297299E-08"
"3","1.13838032","4.00783014297485","4.86248659115063E-08"
"4","1.44918252","5.72090435028076","7.06112004422721E-08"
"5","2.18648376","8.01598358154297","9.92234632235522E-08"
"6","2.28509398","10.0199518203735","1.17386484532744E-07"
"7","2.3836882","12.0238485336304","1.41857213975527E-07"
"8","2.48225422","14.0277214050293","1.67944563145284E-07"
"9","2.5808343","16.0316715240479","1.94658738905673E-07"
"10","2.67945322","18.035816192627","2.22080700496008E-07"
"11","2.77805844","20.0397453308105","2.49864768875341E-07"
"12","2.87915254","22.1208152770996","2.82966340137136E-07"
"13","2.97774844","24.0509700775146","3.07098531493466E-07"
"14","3.0763302","26.050199508667","3.35919793315043E-07"
"15","3.1749165","28.053861618042","3.64918008699533E-07"
"16","3.27350212","30.0604095458984","3.94416019844357E-07"
"17","3.37211312","32.0630950927734","4.24158315581735E-07"
"18","3.4707026","34.0701179504395","4.54148619155603E-07"
"19","3.5693042","36.0699768066406","4.84522445276525E-07"
"20","3.66787642","38.0727157592773","5.14824023412075E-07"
"21","3.76646104","40.0799827575684","5.45273735497176E-07"
"22","3.8650413","42.0827255249023","5.75901879074081E-07"
"23","3.96362022","44.0892219543457","6.06873356900905E-07"
"24","4.06222716","46.0892524719238","6.37839548289776E-07"
"25","4.1608124","48.092227935791","6.69343307890813E-07"
"26","4.25940112","50.0989837646484","7.02060390267434E-07"
"27","4.35798034","52.1019706726074","7.34912873667781E-07"
"28","4.4565494","54.1084861755371","7.66905202453927E-07"
"29","4.5551465","56.1084594726563","7.98376504462794E-07"
"30","4.65370852","58.1147689819336","8.30480530567002E-07"
"31","4.75227692","60.1176948547363","8.62387935285369E-07"
"32","4.8508605","62.1247901916504","8.94673121365486E-07"
"33","4.94946296","64.1278991699219","9.27400094496988E-07"
"34","5.0480656","66.0946350097656","9.71092845247767E-07"
"35","5.14666078","68.0035858154297","1.030667476698E-06"
"36","5.57863226","70.1397933959961","1.04142543477792E-06"
"37","5.6663115","72.1462631225586","1.06519485143508E-06"
"38","5.7539653","74.1496505737305","1.09582981622225E-06"
"39","5.8416326","76.1492309570313","1.12798397822189E-06"
"40","5.9293032","78.1561660766602","1.16114449610905E-06"
"41","6.016965","80.1591949462891","1.19419894417661E-06"
"42","6.10461554","82.1655197143555","1.22777930755547E-06"
"43","6.1922972","84.1690216064453","1.261761326532E-06"
"44","6.27996138","86.1687698364258","1.29569423279463E-06"
"45","6.36762454","88.1756057739258","1.33031653604121E-06"
"46","6.45531004","90.1787719726563","1.36356857183273E-06"
"47","6.54297144","92.1851501464844","1.39963390211051E-06"
"48","6.63063022","94.1915130615234","1.43463023505319E-06"
"49","6.71831114","96.1917266845703","1.46869172112929E-06"
"50","6.8059787","98.1945343017578","1.50544383359374E-06"
"51","6.8936441","100.201141357422","1.54034262322966E-06"
"52","6.98130398","102.204917907715","1.5755769027237E-06"
"53","7.06897234","104.210746765137","1.61010882493429E-06"
"54","7.1566234","106.210929870605","1.64473954100686E-06"
"55","7.24428768","108.214469909668","1.68574013059697E-06"
"56","7.33193968","110.220405578613","1.72746115367772E-06"
"57","7.41959662","112.224380493164","1.75696879978204E-06"
"58","7.50727204","114.230743408203","1.79235303221503E-06"
"59","7.59492566","116.230415344238","1.82943222171161E-06"
"60","7.68257988","118.233474731445","1.86541353741632E-06"
"61","7.77023504","120.240051269531","1.90076843864517E-06"
"62","7.8578973","122.243103027344","1.93579217011575E-06"
"63","7.94556994","124.249786376953","1.97345798369497E-06"
"64","8.03322842","126.252319335938","2.00734075406217E-06"
"65","8.1208937","128.256423950195","2.04476964427158E-06"
"66","8.20856468","130.259170532227","2.08317646865908E-06"
"67","8.29622342","132.265319824219","2.12118220588309E-06"
"68","8.38388008","134.269012451172","2.15943532566598E-06"
"69","8.47154504","136.275375366211","2.19662456402148E-06"
"70","8.55919832","138.274887084961","2.23270535570919E-06"
"71","8.64684962","140.278503417969","2.27193845603324E-06"
"72","8.73450358","142.285202026367","2.30835985348676E-06"
"73","8.82216532","144.288146972656","2.3445968508895E-06"
"74","8.90981528","146.295043945313","2.38093866755662E-06"
"75","8.99746066","148.295471191406","2.4189039322664E-06"
"76","9.08511424","150.297348022461","2.45732439907442E-06"
"77","9.17277622","152.304122924805","2.49611753133649E-06"
"78","9.26043132","154.3076171875","2.53286589213531E-06"
"79","9.34809626","156.314224243164","2.5696338070702E-06"
"80","9.43577296","158.314331054688","2.60583851741103E-06"
"81","9.52344232","160.316436767578","2.64590812548704E-06"
"82","9.6110989","162.323318481445","2.68253256763273E-06"
"83","9.69877406","164.329574584961","2.72078250418417E-06"
"84","9.78642648","166.332656860352","2.75618344858231E-06"
"85","9.8740843","168.334396362305","2.79293794847035E-06"
"86","9.96175498","170.33967590332","2.83000053968863E-06"
"87","10.04943232","172.342147827148","2.86962381323974E-06"
"88","10.13708742","174.349044799805","2.90665434476978E-06"
"89","10.22475028","176.352569580078","2.94251617560803E-06"
"90","10.31242402","178.352310180664","2.98077588922752E-06"
"91","10.40007292","180.358779907227","3.01635327559779E-06"
"92","10.48773102","182.362518310547","3.05109097098466E-06"
"93","10.57540286","184.367492675781","3.09050096802821E-06"
"94","10.66305798","186.371322631836","3.1243680496118E-06"
"95","10.7507185","188.371932983398","3.16290311275225E-06"
"96","10.83837552","190.377868652344","3.20125377584191E-06"
"97","10.92601978","192.380813598633","3.23708923133381E-06"
"98","11.01366486","194.386962890625","3.27451539305912E-06"
