	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","9.33771661948413E-06","-3.80029063773435E-10"
"2","0.3985002","2.00395464897156","2.96360198603907E-08"
"3","0.79694008","3.94701623916626","6.55566054774681E-08"
"4","1.19291596","5.60767602920532","9.92271722566329E-08"
"5","1.93025798","8.01597690582275","1.51399362380289E-07"
"6","2.02885832","10.0199146270752","1.88568407111234E-07"
"7","2.12745802","12.0238018035889","2.34338344284879E-07"
"8","2.2260434","14.0276803970337","2.83847043647256E-07"
"9","2.32463886","16.0316123962402","3.35890803171424E-07"
"10","2.42323754","18.0357627868652","3.89950656654037E-07"
"11","2.52182696","20.0396633148193","4.4606980509343E-07"
"12","2.62291546","22.1188335418701","5.09353696998005E-07"
"13","2.72149186","24.0502395629883","5.63688217880554E-07"
"14","2.8200819","26.0494976043701","6.24744529886812E-07"
"15","2.9186916","28.0528755187988","6.87280135025503E-07"
"16","3.01727146","30.0593433380127","7.51252514419321E-07"
"17","3.1158538","32.0618057250977","8.16429917449568E-07"
"18","3.21444804","34.0687294006348","8.82704568994086E-07"
"19","3.3130287","36.0686111450195","9.49749733081262E-07"
"20","3.41161438","37.974666595459","1.02433614301845E-06"
"21","3.84351606","40.0813827514648","1.10727012270218E-06"
"22","3.93116764","42.0841445922852","1.164943000731E-06"
"23","4.01879972","44.0906105041504","1.23072118185519E-06"
"24","4.10643522","46.090892791748","1.29888451283477E-06"
"25","4.19407366","48.0937004089355","1.36868197841977E-06"
"26","4.2817458","50.100456237793","1.43990814649442E-06"
"27","4.36940572","52.1035842895508","1.51186941366177E-06"
"28","4.45708422","54.1103286743164","1.5854216144362E-06"
"29","4.54477116","56.1103706359863","1.65916162586655E-06"
"30","4.63243328","58.1168556213379","1.73399700997834E-06"
"31","4.7200985","60.1197853088379","1.80951667516638E-06"
"32","4.80776138","62.1268920898438","1.88671390333184E-06"
"33","4.8954184","64.1299591064453","1.96158248400025E-06"
"34","4.98308024","66.1293334960938","2.03859417524654E-06"
"35","5.07074468","68.1364364624023","2.11773021874251E-06"
"36","5.15840834","70.1390609741211","2.19515641219914E-06"
"37","5.24605626","72.1457290649414","2.27373834604805E-06"
"38","5.33374278","74.1492233276367","2.35277866522665E-06"
"39","5.42138916","76.1489639282227","2.43183603743091E-06"
"40","5.50907662","78.155517578125","2.51179335464258E-06"
"41","5.59676508","80.1589431762695","2.59143894254521E-06"
"42","5.68443916","82.1651077270508","2.6709340090747E-06"
"43","5.77211346","84.1686401367188","2.75069828603591E-06"
"44","5.85979482","86.1683654785156","2.83034933090676E-06"
"45","5.94746806","88.174934387207","2.91107517114142E-06"
"46","6.03513128","90.1780776977539","2.99228395306272E-06"
"47","6.1227994","92.1845092773438","3.07155073642207E-06"
"48","6.21045852","94.1910781860352","3.15410943585448E-06"
"49","6.2981325","96.1911926269531","3.2346356420021E-06"
"50","6.38580618","98.1939086914063","3.31346905113605E-06"
"51","6.47345612","100.200752258301","3.39432972396025E-06"
"52","6.56113538","102.204391479492","3.47533045896853E-06"
"53","6.64880222","104.210182189941","3.55592692358186E-06"
"54","6.73645498","106.210266113281","3.63624440069543E-06"
"55","6.8241248","108.213592529297","3.71703890778008E-06"
"56","6.91180128","110.219711303711","3.79879679712758E-06"
"57","6.99947232","112.223487854004","3.8793359635747E-06"
"58","7.08712838","114.230033874512","3.96068753616419E-06"
"59","7.1748029","116.229614257813","4.03913008995005E-06"
"60","7.26247654","118.232833862305","4.12030385632534E-06"
"61","7.35013036","120.239295959473","4.19940033680177E-06"
"62","7.4378062","122.242225646973","4.28040220867842E-06"
"63","7.52546062","124.24893951416","4.35958463640418E-06"
"64","7.61311822","126.251556396484","4.44019724454847E-06"
"65","7.70079132","128.255477905273","4.52170434073196E-06"
"66","7.78844914","130.258422851563","4.60268347524107E-06"
"67","7.87609942","132.264343261719","4.68236294182134E-06"
"68","7.96378216","134.268280029297","4.76321793030365E-06"
"69","8.05145344","136.274276733398","4.84564634462004E-06"
"70","8.13910114","138.27424621582","4.92235994897783E-06"
"71","8.22678192","140.277679443359","5.00301393913105E-06"
"72","8.31444098","142.2841796875","5.08195398651878E-06"
"73","8.40211202","144.287170410156","5.16067757416749E-06"
"74","8.48977118","146.293609619141","5.24248844158137E-06"
"75","8.57743144","148.294021606445","5.32100330019603E-06"
"76","8.66510108","150.296035766602","5.400398549682E-06"
"77","8.75276964","152.30305480957","5.48209163753199E-06"
"78","8.8404235","154.306518554688","5.56326176592847E-06"
"79","8.92808588","156.313125610352","5.64149286219617E-06"
"80","9.01574248","158.313323974609","5.72065573578584E-06"
"81","9.10339436","160.315155029297","5.80021969653899E-06"
"82","9.19104946","162.322219848633","5.8812515817408E-06"
"83","9.27870966","164.32844543457","5.95999335928354E-06"
"84","9.36636102","166.33171081543","6.04555361860548E-06"
"85","9.45401716","168.333206176758","6.12375288255862E-06"
"86","9.5416807","170.338500976563","6.20548235019669E-06"
"87","9.62933182","172.341064453125","6.2862086451787E-06"
"88","9.71700686","174.347839355469","6.36811819276772E-06"
"89","9.80467548","176.351043701172","6.44840383756673E-06"
"90","9.89234916","178.350967407227","6.52944709145231E-06"
"91","9.98002548","180.35725402832","6.61513968225336E-06"
"92","10.06768388","182.360992431641","6.69807013764512E-06"
"93","10.1553495","184.366149902344","6.78241804052959E-06"
"94","10.24301772","186.370025634766","6.86318981024669E-06"
"95","10.33066622","188.370391845703","6.95023027219577E-06"
"96","10.41831296","190.376373291016","7.03232717569335E-06"
"97","10.50597754","192.379364013672","7.11303164280253E-06"
"98","10.59363418","194.385482788086","7.19952777217259E-06"
"99","10.68129494","196.392822265625","7.28784516468295E-06"
"100","10.7689637","198.391983032227","7.37014624974108E-06"
"101","10.85661912","200.395446777344","7.45993793316302E-06"
"102","10.94427158","202.402893066406","7.54781149225892E-06"
"103","11.03193128","204.404754638672","7.63259140512673E-06"
"104","11.11959382","206.411117553711","7.72224848333281E-06"
"105","11.20725388","208.411682128906","7.80856225901516E-06"
