	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","3.934939741157E-06","-7.3483358287163E-11"
"2","0.3985422","2.00395083427429","3.28143769934286E-08"
"3","0.7970445","3.9268171787262","7.09537175680452E-08"
"4","1.53440258","6.01208019256592","1.17763015339278E-07"
"5","1.63301778","8.01590442657471","1.55559291670215E-07"
"6","1.73160096","10.0198831558228","2.02545507477225E-07"
"7","1.83019934","12.0237674713135","2.53881751177687E-07"
"8","1.92879134","14.0276384353638","3.08102244162001E-07"
"9","2.0273918","16.0315628051758","3.64480229109176E-07"
"10","2.12598312","18.0357093811035","4.23166426344324E-07"
"11","2.2245962","20.0396041870117","4.83874714518606E-07"
"12","2.32575174","22.1163501739502","5.51508207990992E-07"
"13","2.42434702","24.0495128631592","6.09606445323152E-07"
"14","2.52294962","26.0487155914307","6.7412167936709E-07"
"15","2.62154054","28.0523719787598","7.40010932531732E-07"
"16","2.72012466","30.0588493347168","8.07284436632472E-07"
"17","2.81873288","32.0613632202148","8.75000353062205E-07"
"18","2.91732608","34.0681190490723","9.47689898112003E-07"
"19","3.34929092","36.0707702636719","1.0294920684828E-06"
"20","3.43696838","38.0735054016113","1.08808467302879E-06"
"21","3.52462622","40.0807647705078","1.15417071810953E-06"
"22","3.61227004","42.0836868286133","1.22325582196936E-06"
"23","3.69992802","44.090503692627","1.29341049159848E-06"
"24","3.78757464","46.0905075073242","1.36463529543107E-06"
"25","3.8752277","48.0935134887695","1.43731938351266E-06"
"26","3.96290122","50.1000556945801","1.51030121742224E-06"
"27","4.0505499","52.1030235290527","1.5841479807932E-06"
"28","4.1382043","54.1098670959473","1.65927679063316E-06"
"29","4.22586586","56.1100540161133","1.73384887602879E-06"
"30","4.31352212","58.1163063049316","1.80997426468821E-06"
"31","4.40119292","60.1195106506348","1.88624687780248E-06"
"32","4.48885048","62.1264572143555","1.96334576685331E-06"
"33","4.57649728","64.1294326782227","2.04020307137398E-06"
"34","4.66416116","66.1288909912109","2.11630140256602E-06"
"35","4.75182682","68.1360092163086","2.19364210352069E-06"
"36","4.83947332","70.1386871337891","2.27139457820158E-06"
"37","4.92711486","72.1452407836914","2.34840035773232E-06"
"38","5.0147976","74.1485900878906","2.42973624153819E-06"
"39","5.10245438","76.1481857299805","2.50853167926834E-06"
"40","5.19011814","78.1549682617188","2.5850965812424E-06"
"41","5.27777086","80.158203125","2.66300867224345E-06"
"42","5.36544884","82.1647644042969","2.74190551863285E-06"
"43","5.45313388","84.1682205200195","2.82000769402657E-06"
"44","5.54083482","86.1677398681641","2.89714580503642E-06"
"45","5.62851258","88.1745529174805","2.97503584079095E-06"
"46","5.7161854","90.1777114868164","3.05223193208803E-06"
"47","5.80386664","92.184211730957","3.13036480292794E-06"
"48","5.8915406","94.1904907226563","3.20881440529774E-06"
"49","5.97921326","96.1905059814453","3.28682335748454E-06"
"50","6.06689606","98.1933135986328","3.36300104208931E-06"
"51","6.15457424","100.199951171875","3.44307636623853E-06"
"52","6.24225552","102.203628540039","3.51770768247661E-06"
"53","6.32996022","104.209426879883","3.5949583434558E-06"
"54","6.41764974","106.209785461426","3.66987183042511E-06"
"55","6.50532174","108.213302612305","3.74649357581802E-06"
"56","6.59301062","110.219184875488","3.82115194952348E-06"
"57","6.68068386","112.222999572754","3.89735168937477E-06"
"58","6.76837124","114.22925567627","3.97315807276755E-06"
"59","6.85603868","116.229309082031","4.04893808081397E-06"
"60","6.94370792","118.232315063477","4.12560939366813E-06"
"61","7.03138454","120.238746643066","4.20255491917487E-06"
"62","7.11906324","122.241798400879","4.27887243859004E-06"
"63","7.20673314","124.248649597168","4.35490255767945E-06"
"64","7.29441436","126.251190185547","4.4313860598777E-06"
"65","7.3820998","128.255020141602","4.50879633717705E-06"
"66","7.46977902","130.257904052734","4.58502063338528E-06"
"67","7.5574598","132.264038085938","4.6607228796347E-06"
"68","7.6451322","134.267929077148","4.73691443403368E-06"
"69","7.73281466","136.274185180664","4.81252618556027E-06"
