	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","-0.00292829540558159","3.16101234076882E-09"
"2","0.73982748","2.00395846366882","1.35514824251004E-07"
"3","0.84095528","4.00773477554321","2.62414630469721E-07"
"4","0.93953822","6.01202487945557","3.96853522488527E-07"
"5","1.03813368","8.01583766937256","5.37423716195917E-07"
"6","1.13673234","10.0197477340698","6.76072602345812E-07"
"7","1.23533198","12.0235767364502","8.14937834547891E-07"
"8","1.6672728","14.0277662277222","9.47642320170416E-07"
"9","1.75495996","16.0317268371582","1.07512107661023E-06"
"10","1.84263486","18.0358829498291","1.2105200539736E-06"
"11","1.9302883","20.0397968292236","1.34831429932092E-06"
"12","2.01793208","22.1695995330811","1.49280947425723E-06"
"13","2.10558814","24.0512504577637","1.62595665642584E-06"
"14","2.19322142","26.0505809783936","1.76551316144469E-06"
"15","2.28087372","28.0543556213379","1.90726950677345E-06"
"16","2.36855136","30.0606670379639","2.04593038688472E-06"
"17","2.45621308","32.0634841918945","2.18432819565351E-06"
"18","2.54388904","34.0705413818359","2.32460865845496E-06"
"19","2.63157354","36.070442199707","2.46556373895146E-06"
"20","2.71925414","38.0730895996094","2.60423962572531E-06"
"21","2.80691916","40.0807304382324","2.74465719485306E-06"
"22","2.89459178","42.0834732055664","2.88530986836122E-06"
"23","2.98225404","44.0900459289551","3.02507442029309E-06"
"24","3.06991374","46.0901107788086","3.16667865263298E-06"
"25","3.1575823","48.0932922363281","3.305142854515E-06"
"26","3.24523596","50.0999488830566","3.44562022291939E-06"
"27","3.33289974","52.1027755737305","3.58520105692151E-06"
"28","3.42058404","54.1096572875977","3.72726822206459E-06"
"29","3.5082555","56.1094779968262","3.86466763302451E-06"
"30","3.59592762","58.1156806945801","4.00509725295706E-06"
"31","3.68361214","60.1188087463379","4.14274609283893E-06"
"32","3.7712772","62.1258850097656","4.28090788773261E-06"
"33","3.85894484","64.1289825439453","4.41987867816351E-06"
"34","3.94662102","66.1284942626953","4.5575588956126E-06"
"35","4.03428692","68.1353912353516","4.69700216854108E-06"
"36","4.12194062","70.1382217407227","4.83475969303981E-06"
"37","4.2096076","72.1447067260742","4.97138398714014E-06"
"38","4.29725132","74.1482543945313","5.1132283260813E-06"
"39","4.38491248","76.1476898193359","5.24769575349637E-06"
"40","4.47258414","78.154411315918","5.38171025254996E-06"
"41","4.56023444","80.1578369140625","5.51667335457751E-06"
"42","4.6478922","82.1638717651367","5.65230038773734E-06"
"43","4.73556982","84.1674652099609","5.78887693336583E-06"
"44","4.8232145","86.1670150756836","5.92447713643196E-06"
"45","4.91087972","88.1736068725586","6.06422781856963E-06"
"46","4.99855562","90.176872253418","6.19859565631486E-06"
"47","5.0862106","92.1833114624023","6.33421632301179E-06"
"48","5.17387522","94.1896286010742","6.47227534500416E-06"
"49","5.26152782","96.1899032592773","6.60282830722281E-06"
"50","5.3491926","98.1927032470703","6.73575686960248E-06"
"51","5.4368423","100.19896697998","6.86933844917803E-06"
"52","5.5245019","102.202880859375","7.00281907484168E-06"
"53","5.6121645","104.208511352539","7.13882809577626E-06"
"54","5.69980776","106.208831787109","7.27629958419129E-06"
"55","5.7874601","108.212158203125","7.40440054869396E-06"
"56","5.87511122","110.218391418457","7.54013080950244E-06"
"57","5.96276208","112.221984863281","7.66808807384223E-06"
"58","6.05041482","114.228637695313","7.80390291765798E-06"
"59","6.13808886","116.22827911377","7.93342132965336E-06"
"60","6.22574394","118.23120880127","8.06941443443066E-06"
"61","6.31339568","120.237686157227","8.20431796455523E-06"
"62","6.40106126","122.24072265625","8.33355625218246E-06"
"63","6.48873404","124.247375488281","8.46188504510792E-06"
"64","6.57639136","126.250061035156","8.59585998114198E-06"
"65","6.66403798","128.253707885742","8.72881628311006E-06"
"66","6.7517068","130.256744384766","8.85950339579722E-06"
"67","6.83936536","132.262664794922","8.99262613529572E-06"
"68","6.92702132","134.266510009766","9.1283500296413E-06"
"69","7.01467102","136.272811889648","9.25576296140207E-06"
"70","7.10233092","138.272369384766","9.38954599405406E-06"
"71","7.18998032","140.275833129883","9.52283789956709E-06"
"72","7.2776431","142.282287597656","9.6527801360935E-06"
"73","7.36528576","144.285308837891","9.77335821517045E-06"
"74","7.45292814","146.291793823242","9.9028129625367E-06"
"75","7.54058292","148.292114257813","1.00224024208728E-05"
"76","7.62822352","150.29411315918","1.01469922810793E-05"
"77","7.71586038","152.300842285156","1.02725371107226E-05"
"78","7.80349924","154.303558349609","1.04098662632168E-05"
"79","8.2205041","156.314239501953","1.04383288999088E-05"
"80","8.30816758","158.314590454102","1.0557600944594E-05"
