	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.09474058263004E-05","3.03896824371819E-10"
"2","0.39848226","1.87012362480164","7.76430510995851E-08"
"3","1.13827992","4.00778532028198","1.68490203122929E-07"
"4","1.2368678","6.01208639144897","2.46972888362507E-07"
"5","1.33546632","8.01591396331787","3.32527491764267E-07"
"6","1.4340558","10.0198278427124","4.20588065708216E-07"
"7","1.53263634","12.023699760437","5.1010340484936E-07"
"8","1.63121692","14.0275678634644","6.00468808897858E-07"
"9","1.72978402","16.0314617156982","6.91931631990883E-07"
"10","1.82835944","18.0356121063232","7.84411611221003E-07"
"11","1.92693218","20.0394916534424","8.77615377703478E-07"
"12","2.0280198","22.117395401001","1.03137949736265E-06"
"13","2.45997178","24.0514869689941","1.08063784409751E-06"
"14","2.5476188","26.0508441925049","1.16545902528742E-06"
"15","2.63529742","28.0545101165771","1.25795190797362E-06"
"16","2.72297468","30.0609474182129","1.35358391162299E-06"
"17","2.81066016","32.0638160705566","1.45088984027097E-06"
"18","2.89833036","34.0709419250488","1.5492962575081E-06"
"19","2.98600254","36.0708236694336","1.64722928275296E-06"
"20","3.07367144","38.0735702514648","1.74577053257963E-06"
"21","3.1613226","40.0809288024902","1.84617795184749E-06"
"22","3.2489822","42.0837135314941","1.94649032891903E-06"
"23","3.33665514","44.0904922485352","2.0473028143897E-06"
"24","3.42430264","46.0905494689941","2.14813940146996E-06"
"25","3.51194592","48.0937156677246","2.24971313400602E-06"
"26","3.59958848","50.1001167297363","2.3517152385466E-06"
"27","3.6872301","52.1031608581543","2.4540820504626E-06"
"28","3.77489344","54.1098556518555","2.55621012001939E-06"
"29","3.86255542","56.1099128723145","2.65875041804975E-06"
"30","3.95021426","58.116397857666","2.76207924798655E-06"
"31","4.03788262","60.1193962097168","2.86518775283184E-06"
"32","4.12553374","62.1265335083008","2.96955636258645E-06"
"33","4.21319888","64.1295394897461","3.07410255118157E-06"
"34","4.30086118","66.1289978027344","3.17814988193277E-06"
"35","4.38851352","68.1358337402344","3.28347118738748E-06"
"36","4.47618738","70.1388244628906","3.3868766422529E-06"
"37","4.5638393","72.1450576782227","3.49209290106955E-06"
"38","4.65149502","74.1485366821289","3.59733826371667E-06"
"39","4.73913962","76.1480941772461","3.70240763913898E-06"
"40","4.82680412","78.1550216674805","3.80854203285708E-06"
"41","4.91444666","80.1582336425781","3.91377125197323E-06"
"42","5.002109","82.1646575927734","4.01972420149832E-06"
"43","5.08977454","84.168083190918","4.13173529523192E-06"
"44","5.1774137","86.1676864624023","4.23521942138905E-06"
"45","5.26506946","88.1743545532227","4.33921104558976E-06"
"46","5.35273982","90.17724609375","4.44855959358392E-06"
"47","5.4403977","92.1838531494141","4.55532608611975E-06"
"48","5.52805674","94.1901092529297","4.65961056761444E-06"
"49","5.61571632","96.1904602050781","4.76838340546237E-06"
"50","5.7033857","98.1931304931641","4.87568331664079E-06"
"51","5.79104622","100.19979095459","4.98281224281527E-06"
"52","5.8787071","102.203514099121","5.08845414515235E-06"
"53","5.9663641","104.20930480957","5.19880086358171E-06"
"54","6.05402008","106.209243774414","5.30735997017473E-06"
"55","6.14165922","108.213012695313","5.41390045327717E-06"
"56","6.2293129","110.218734741211","5.52352139493451E-06"
"57","6.31698846","112.222839355469","5.6315520851058E-06"
"58","6.40464458","114.228981018066","5.73369243284105E-06"
"59","6.49230554","116.228828430176","5.8435234677745E-06"
"60","6.5799741","118.231842041016","5.96333529756521E-06"
"61","6.6676375","120.238426208496","6.07719584877486E-06"
"62","6.75530294","122.241340637207","6.17652131040813E-06"
"63","6.84295174","124.248123168945","6.29088162895641E-06"
"64","6.93060678","126.250885009766","6.40662938167225E-06"
"65","7.01825826","128.25456237793","6.51223808745272E-06"
"66","7.1059133","130.257400512695","6.63114133203635E-06"
"67","7.19356498","132.263732910156","6.7407936512609E-06"
"68","7.28121734","134.267486572266","6.84963470121147E-06"
"69","7.3688719","136.273544311523","6.95595281285932E-06"
"70","7.45652654","138.273315429688","7.07183016857016E-06"
"71","7.54417704","140.276809692383","7.17654029358528E-06"
"72","7.631824","142.283126831055","7.28577970221522E-06"
"73","7.7194634","144.286071777344","7.4006788963743E-06"
"74","7.8071316","146.292556762695","7.50394065107685E-06"
"75","7.89480036","148.293151855469","7.6132077992952E-06"
"76","7.9824536","150.294967651367","7.72352268540999E-06"
"77","8.0701115","152.301971435547","7.83117411629064E-06"
"78","8.15776834","154.305313110352","7.93352046457585E-06"
"79","8.24543168","156.311935424805","8.04429146228358E-06"
"80","8.33309318","158.312026977539","8.15073417470558E-06"
"81","8.42074132","160.314041137695","8.26500490802573E-06"
"82","8.50839476","162.32112121582","8.37185780255822E-06"
"83","8.59606308","164.327102661133","8.47823230287759E-06"
"84","8.6837254","166.330291748047","8.58317525853636E-06"
"85","8.77135866","168.331817626953","8.69367249833886E-06"
"86","8.85900972","170.337142944336","8.79036088008434E-06"
"87","8.94666428","172.339736938477","8.90515275386861E-06"
"88","9.03430624","174.346405029297","9.01067505765241E-06"
"89","9.121979","176.349822998047","9.11779170564841E-06"
"90","9.20963398","178.349670410156","9.22211711440468E-06"
"91","9.29727246","180.356185913086","9.33551746129524E-06"
"92","9.38494556","182.359909057617","9.44285238801967E-06"
"93","9.47260034","184.365036010742","9.53388462221483E-06"
"94","9.56026242","186.368804931641","9.64970058703329E-06"
"95","9.64792712","188.369155883789","9.75030707195401E-06"
"96","9.73557662","190.375045776367","9.86167469818611E-06"
"97","9.8232262","192.377777099609","9.9763228718075E-06"
"98","9.9108778","194.383773803711","1.00821425803588E-05"
"99","9.9985329","196.391525268555","1.01841496871202E-05"
"100","10.08619528","198.390609741211","1.03100528576761E-05"
"101","10.17386682","200.393478393555","1.04105911304941E-05"
"102","10.59085528","202.405258178711","1.04849250419647E-05"
"103","10.67851742","204.406784057617","1.05741037259577E-05"
"104","10.76616166","206.413269042969","1.0674802979338E-05"
"105","10.85383202","208.413711547852","1.07878304334008E-05"
"106","10.9415084","210.391403198242","1.08880003608647E-05"
"107","11.02918418","212.402328491211","1.09985612652963E-05"
"108","11.1168312","214.447128295898","1.1095401532657E-05"
"109","11.2045058","216.441818237305","1.11948193080025E-05"
"110","11.29216812","218.450317382813","1.12852958409349E-05"
"111","11.37983124","220.443893432617","1.13940550363623E-05"
"112","11.46748318","222.452865600586","1.15067223305232E-05"
"113","11.555144","224.446258544922","1.16194150905358E-05"
"114","11.64280412","226.455749511719","1.17149002107908E-05"
"115","11.73046954","228.444717407227","1.18132684292505E-05"
"116","11.8181342","230.456192016602","1.19101250675158E-05"
"117","11.9057976","232.447204589844","1.20357062769472E-05"
"118","11.99345912","234.459701538086","1.21385273814667E-05"
"119","12.08110682","236.447967529297","1.22428045870038E-05"
"120","12.16877636","238.49609375","1.23493391583906E-05"
"121","12.25644","240.5078125","1.24570924526779E-05"
"122","12.3441116","242.498199462891","1.25649003166473E-05"
"123","12.43176824","244.508041381836","1.26725999507471E-05"
"124","12.5194212","246.497741699219","1.27746052385191E-05"
"125","12.60710624","248.491943359375","1.28892434076988E-05"
"126","12.69477628","250.501525878906","1.29953923533321E-05"
"127","12.78243564","252.493759155273","1.30933885884588E-05"
"128","12.87009176","254.505157470703","1.31998021970503E-05"
"129","12.95774568","256.493316650391","1.33101520987111E-05"
"130","13.04541748","258.505584716797","1.34175134007819E-05"
"131","13.1330881","260.495147705078","1.35110258270288E-05"
"132","13.2207407","262.543548583984","1.36243315864704E-05"
"133","13.30840456","264.552368164063","1.37401402753312E-05"
"134","13.39609262","266.545135498047","1.38463874463923E-05"
"135","13.4837512","268.556549072266","1.39550893436535E-05"
"136","13.57142054","270.544799804688","1.4063634807826E-05"
"137","13.65908788","272.555786132813","1.41685814014636E-05"
"138","13.7467548","274.546875","1.42831659104559E-05"
"139","13.83443484","276.55908203125","1.43908000609372E-05"
"140","13.92211226","278.549652099609","1.44870555232046E-05"
"141","14.00977794","280.540679931641","1.46025440699304E-05"
"142","14.09743018","282.551910400391","1.47047257996746E-05"
"143","14.18509414","284.539703369141","1.48093149618944E-05"
