	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.35900045279413E-05","-2.29479413249578E-09"
"2","0.39846852","2.00395655632019","2.95301507691192E-08"
"3","0.79692018","3.9643280506134","6.80089158322517E-08"
"4","1.53422862","6.01214933395386","1.12809544816628E-07"
"5","1.6328429","8.01599502563477","1.50218781413969E-07"
"6","1.73145274","10.0199241638184","1.99498444430901E-07"
"7","1.83004126","12.0238265991211","2.53131162253339E-07"
"8","1.92861408","14.0276613235474","3.09310763668691E-07"
"9","2.02718812","16.031623840332","3.67104007636954E-07"
"10","2.12575836","18.0357646942139","4.26562650091E-07"
"11","2.22434742","20.0396499633789","4.88697367018176E-07"
"12","2.32545202","22.1193294525146","5.59825934942637E-07"
"13","2.42403238","24.0501098632813","6.20538628481881E-07"
"14","2.52260484","26.0493144989014","6.88496527345706E-07"
"15","2.6211753","28.052713394165","7.584687864437E-07"
"16","2.71976046","30.0590782165527","8.31181807825487E-07"
"17","2.8183427","32.061580657959","9.03170757737826E-07"
"18","2.91690366","34.0684013366699","9.80107643044903E-07"
"19","3.34880372","36.0711898803711","1.0869044899664E-06"
"20","3.4364625","38.073917388916","1.14946658413828E-06"
"21","3.52411834","40.081470489502","1.22186577300454E-06"
"22","3.61176836","42.0842208862305","1.29158354411629E-06"
"23","3.69942046","44.0907821655273","1.38113864522893E-06"
"24","3.78706534","46.0907592773438","1.45738920309668E-06"
"25","3.87471218","48.0940361022949","1.54630117776833E-06"
"26","3.9623972","50.1006660461426","1.62991864272044E-06"
"27","4.05007838","52.1035385131836","1.70624502970895E-06"
"28","4.13774872","54.1104507446289","1.7981597011385E-06"
"29","4.22540386","56.1104011535645","1.87823093256156E-06"
"30","4.31307734","58.1167602539063","1.96360247173288E-06"
"31","4.40074588","60.1198348999023","2.0821651105507E-06"
"32","4.48840908","62.1267204284668","2.16179387280135E-06"
"33","4.57605656","64.1299209594727","2.24968334805453E-06"
"34","4.66372926","66.1293563842773","2.34993353842583E-06"
"35","4.75137694","68.1363220214844","2.43917133957439E-06"
"36","4.8390423","70.1393966674805","2.53552161666448E-06"
"37","4.92668584","72.1456527709961","2.6299985620426E-06"
"38","5.01433352","74.1493072509766","2.73098271463823E-06"
"39","5.1019791","76.1486358642578","2.83190001937328E-06"
"40","5.18966772","78.1554718017578","2.93003131446312E-06"
"41","5.27734036","80.1587600708008","3.03047227134812E-06"
"42","5.36499644","82.1650009155273","3.1322772429121E-06"
"43","5.45267082","84.1683654785156","3.23145354741428E-06"
"44","5.54034636","86.1681213378906","3.33339312419412E-06"
"45","5.6280117","88.1747665405273","3.43564488503034E-06"
"46","5.7156801","90.1778259277344","3.53787231688329E-06"
"47","5.80334624","92.1843872070313","3.64144625564222E-06"
"48","5.89101052","94.1907730102539","3.74395153812657E-06"
"49","5.9786762","96.1910781860352","3.84766008210136E-06"
"50","6.0663343","98.1938247680664","3.95065444536158E-06"
"51","6.15398122","100.200424194336","4.05683749704622E-06"
"52","6.24163082","102.203918457031","4.16198599850759E-06"
"53","6.32928642","104.209938049316","4.2687970562838E-06"
"54","6.416932","106.2099609375","4.37399967267993E-06"
"55","6.50457968","108.213394165039","4.47980528406333E-06"
"56","6.59223422","110.219459533691","4.58563226857223E-06"
"57","6.67990004","112.223190307617","4.69228598376503E-06"
"58","6.76756142","114.22972869873","4.79807931696996E-06"
"59","6.8552261","116.229553222656","4.90343199999188E-06"
"60","6.94289056","118.23258972168","5.00915302836802E-06"
"61","7.0305514","120.239013671875","5.11459666086012E-06"
"62","7.11820586","122.24201965332","5.22092113897088E-06"
"63","7.20585142","124.24853515625","5.32593230673228E-06"
"64","7.29350438","126.251159667969","5.43593569091172E-06"
"65","7.38115254","128.25520324707","5.54366579308407E-06"
"66","7.46881278","130.258010864258","5.64725542062661E-06"
"67","7.55647144","132.264251708984","5.75237118027871E-06"
"68","7.64411736","134.267959594727","5.86411715630675E-06"
"69","7.7317642","136.274047851563","5.97419466430438E-06"
"70","7.81940906","138.273818969727","6.07389347351273E-06"
"71","7.9070644","140.27702331543","6.18349940850749E-06"
"72","7.99474212","142.28369140625","6.28883390163537E-06"
"73","8.08241624","144.286651611328","6.39824611425865E-06"
"74","8.17007406","146.293106079102","6.50356514597661E-06"
"75","8.25773272","148.293609619141","6.60562955090427E-06"
"76","8.34537204","150.295394897461","6.72022315484355E-06"
"77","8.43303838","152.302490234375","6.83031976222992E-06"
"78","8.52070952","154.305953979492","6.9195934884192E-06"
"79","8.60836542","156.312393188477","7.02639499650104E-06"
"80","8.69602826","158.312759399414","7.13030885890475E-06"
"81","8.78369602","160.314758300781","7.23730727258953E-06"
"82","8.87135806","162.321472167969","7.33812748876517E-06"
"83","8.95900072","164.327667236328","7.44060344004538E-06"
"84","9.04666916","166.33073425293","7.54202937969239E-06"
"85","9.1343219","168.332550048828","7.64955893828301E-06"
"86","9.22197888","170.337615966797","7.75258013163693E-06"
"87","9.3096235","172.340225219727","7.8547018347308E-06"
"88","9.39726584","174.34716796875","7.95688083599089E-06"
"89","9.4849129","176.350402832031","8.05590116215171E-06"
"90","9.57256554","178.350463867188","8.15855037217261E-06"
