	Common Settings,	
	.源输出/扫描点数,	500
	.重复次数,	0
	.测量延迟,	0.005
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2470
	...型号,	2470
	...序列号,	04648429
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	0
	...停止,	1000
	...步进,	2.00400801603206
	...限值,	0.01
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-08
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	正面
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.21010962175205E-05","-1.50178106061993E-10"
"2","0.39850484","2.00395846366882","2.76866671811149E-08"
"3","1.13835214","4.00783681869507","6.45585629399648E-08"
"4","1.4490982","5.63628768920898","9.6918235215071E-08"
"5","2.18637636","8.01605129241943","1.46225417552159E-07"
"6","2.28496786","10.0199670791626","1.82526136427441E-07"
"7","2.38357158","12.0238542556763","2.28132662982716E-07"
"8","2.48215642","14.0277156829834","2.78083490456993E-07"
"9","2.58073574","16.0316524505615","3.3133082411041E-07"
"10","2.67930374","18.0357971191406","3.87350496566796E-07"
"11","2.77785684","20.0396823883057","4.45893590494961E-07"
"12","2.87896286","22.12331199646","5.12048529799358E-07"
"13","2.97752242","24.0505123138428","5.7039619605348E-07"
"14","3.07610212","26.0494766235352","6.35841047369468E-07"
"15","3.17471482","28.0529155731201","7.03308330685104E-07"
"16","3.27328206","30.0597038269043","7.72830560435978E-07"
"17","3.37185182","32.0619964599609","8.44133523969504E-07"
"18","3.47042084","34.0689888000488","9.17421743906743E-07"
"19","3.56901382","36.040828704834","9.98818222797127E-07"
"20","4.00097884","38.0741195678711","1.10223140836752E-06"
"21","4.088639","40.081470489502","1.1663610166579E-06"
"22","4.17628698","42.0842361450195","1.24007931390224E-06"
"23","4.26393134","44.0909614562988","1.31756894461432E-06"
"24","4.3515868","46.0910949707031","1.39728615522472E-06"
"25","4.43923354","48.0940971374512","1.47927391935809E-06"
"26","4.5268797","50.1005630493164","1.56346834501164E-06"
"27","4.61454332","52.1038436889648","1.64971015692572E-06"
"28","4.70220514","54.110523223877","1.7375728020852E-06"
"29","4.78986298","56.1105651855469","1.82721646524442E-06"
"30","4.87752854","58.1169967651367","1.91853200703918E-06"
"31","4.96519394","60.1199989318848","2.01084299078502E-06"
"32","5.0528494","62.1268424987793","2.10595135285985E-06"
"33","5.14049894","64.1302261352539","2.20146921492415E-06"
"34","5.22815682","66.1294250488281","2.29843021770648E-06"
"35","5.31584336","68.1365203857422","2.3970515030669E-06"
"36","5.40349464","70.1392974853516","2.49563390752883E-06"
"37","5.49114826","72.145881652832","2.59661237578257E-06"
"38","5.57880072","74.149284362793","2.69803649644018E-06"
"39","5.66646332","76.1487503051758","2.80079507319897E-06"
"40","5.7541105","78.1555099487305","2.90521074930439E-06"
"41","5.8417698","80.1589279174805","3.01043587569438E-06"
"42","5.92942742","82.1650924682617","3.11698477162281E-06"
"43","6.01708502","84.1686477661133","3.22388427775877E-06"
"44","6.10475352","86.1682281494141","3.33148022946261E-06"
"45","6.19239902","88.1750411987305","3.43898068422277E-06"
"46","6.28005062","90.1783218383789","3.54714666173095E-06"
"47","6.3677298","92.1844940185547","3.65703181159915E-06"
"48","6.45538526","94.1908798217773","3.76733009943564E-06"
"49","6.54304656","96.1911010742188","3.87732143281028E-06"
"50","6.63069564","98.1938018798828","3.98910196963698E-06"
"51","6.71836612","100.20051574707","4.10090979130473E-06"
"52","6.80602692","102.204093933105","4.21326421928825E-06"
"53","6.8936833","104.20972442627","4.32665819971589E-06"
"54","6.98133644","106.210075378418","4.43996577814687E-06"
"55","7.06898746","108.213447570801","4.55376675745356E-06"
"56","7.1566402","110.219734191895","4.66901838080958E-06"
